script_name,test_id,tquery,fixed_query,duration,final_score
adventureworks_c01,0,"""select p.productid,pv.businessentityid from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID where (v.activeflag='t' and v.creditrating=1 and pv.averageleadtime >10 and pv.unitmeasurecode = 'CS') or (p.reorderpoint>500 and p.productid > 350 and pv.averageleadtime > 15 and pv.minorderqty =1);""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid WHERE ( v.activeflag = 't' AND v.creditrating = 1 AND pv.averageleadtime > 10 AND pv.unitmeasurecode = 'CS' ) OR ( p.productid >= 359 AND p.reorderpoint = 750 AND pv.averageleadtime >= 16 AND pv.minorderqty = 1 )""",0,0
adventureworks_c01,1,"""select p.productid,pv.businessentityid from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID where (v.activeflag='t' and v.creditrating=1 and pv.averageleadtime >10 and pv.unitmeasurecode = 'CS') or (p.reorderpoint>500 and p.productid > 350 and pv.averageleadtime > 15 and pv.minorderqty =1);""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid WHERE ( v.activeflag = 't' AND v.creditrating = 1 AND pv.averageleadtime > 10 AND pv.unitmeasurecode = 'CS' ) OR ( p.reorderpoint > 500 AND p.productid > 350 AND pv.averageleadtime >= 16 AND pv.minorderqty = 1 )""",0,0
adventureworks_c01,2,"""select p.productid,pv.businessentityid from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID where (v.activeflag='t' and v.creditrating=1 and pv.averageleadtime >10 and pv.unitmeasurecode = 'CS') or (p.reorderpoint>500 and p.productid > 350 and pv.averageleadtime > 15 and pv.minorderqty =1);""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid WHERE ( v.activeflag = 't' AND v.creditrating = 1 AND pv.averageleadtime > 10 AND pv.unitmeasurecode = 'CS' ) OR ( p.productid >= 359 AND p.reorderpoint = 750 AND pv.averageleadtime >= 16 AND pv.minorderqty = 1 )""",0,0
adventureworks_c01,3,"""select p.productid,pv.businessentityid from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID where (v.activeflag='t' and v.creditrating=1 and pv.averageleadtime >10 and pv.unitmeasurecode = 'CS') or (p.reorderpoint>500 and p.productid > 350 and pv.averageleadtime > 15 and pv.minorderqty =1);""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid WHERE ( v.activeflag = 't' AND v.creditrating = 1 AND pv.averageleadtime > 10 AND pv.unitmeasurecode = 'CS' ) OR ( p.reorderpoint > 500 AND p.productid > 350 AND pv.averageleadtime > 15 AND pv.minorderqty = 1 )""",0,0
adventureworks_c01,4,"""select p.productid,pv.businessentityid from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID where (v.activeflag='t' and v.creditrating=1 and pv.averageleadtime >10 and pv.unitmeasurecode = 'CS') or (p.reorderpoint>500 and p.productid > 350 and pv.averageleadtime > 15 and pv.minorderqty =1);""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid WHERE ( v.preferredvendorstatus = 't' AND v.creditrating = 1 AND pv.averageleadtime > 10 AND pv.unitmeasurecode = 'CS ' ) OR ( p.reorderpoint > 500 AND p.productid > 350 AND pv.averageleadtime > 15 AND pv.minorderqty = 1 )""",0,0
adventureworks_c01,5,"""select p.productid,pv.businessentityid from product p join productvendor pv on p.productid = pv.productid join vendor v on pv.businessentityid = v.BusinessEntityID where (v.activeflag='t' and v.creditrating=1 and pv.averageleadtime >10 and pv.unitmeasurecode = 'CS') or (p.reorderpoint>500 and p.productid > 350 and pv.averageleadtime > 15 and pv.minorderqty =1);""","""SELECT p.productid AS productid, pv.businessentityid AS businessentityid FROM product p JOIN productvendor pv ON p.productid = pv.productid JOIN vendor v ON pv.businessentityid = v.businessentityid WHERE ( v.activeflag = 't' AND v.creditrating = 1 AND pv.averageleadtime > 10 AND pv.unitmeasurecode = 'CS' ) OR ( p.productid >= 359 AND p.reorderpoint = 750 AND pv.averageleadtime >= 16 AND pv.minorderqty = 1 )""",0,0
adventureworks_c02,0,"""select pod.purchaseorderid,pod.purchaseorderdetailid from product p join purchaseorderdetail pod on p.productid = pod.productid join purchaseorderheader poh on pod.purchaseorderid = poh.purchaseorderid where p.makeflag = 'f' and p.finishedgoodsflag ='f' and p.safetystocklevel > 100 and p.listprice=0 and poh.shipmethodid>1 and poh.orderdate>'2011-01-01 00:00:00' and poh.shipdate > '2011-01-01 00:00:00' and poh.subtotal> 100 and pod.orderqty>1 and pod.unitprice>20;""","""SELECT pod.purchaseorderid AS purchaseorderid, pod.purchaseorderdetailid AS purchaseorderdetailid FROM product p JOIN purchaseorderdetail pod ON p.productid = pod.productid JOIN purchaseorderheader poh ON pod.purchaseorderid = poh.purchaseorderid WHERE ( pod.orderqty in ( 550,60,4,3 ) AND pod.unitprice >= 22.1655 AND poh.shipmethodid <> 1 AND poh.subtotal >= 102.564 )""",2,1825
adventureworks_c02,1,"""select pod.purchaseorderid,pod.purchaseorderdetailid from product p join purchaseorderdetail pod on p.productid = pod.productid join purchaseorderheader poh on pod.purchaseorderid = poh.purchaseorderid where p.makeflag = 'f' and p.finishedgoodsflag ='f' and p.safetystocklevel > 100 and p.listprice=0 and poh.shipmethodid>1 and poh.orderdate>'2011-01-01 00:00:00' and poh.shipdate > '2011-01-01 00:00:00' and poh.subtotal> 100 and pod.orderqty>1 and pod.unitprice>20;""","""SELECT pod.purchaseorderid AS purchaseorderid, pod.purchaseorderdetailid AS purchaseorderdetailid FROM product p JOIN purchaseorderdetail pod ON p.productid = pod.productid JOIN purchaseorderheader poh ON pod.purchaseorderid = poh.purchaseorderid WHERE ( p.makeflag = 'f' AND p.finishedgoodsflag = 'f' AND p.safetystocklevel >= 500 AND p.listprice = 0 AND poh.shipmethodid > 1 AND poh.orderdate > '2011-01-01 00:00:00' AND poh.shipdate > '2011-01-01 00:00:00' AND poh.subtotal > 100 AND pod.orderqty > 1 AND pod.unitprice > 20 )""",0,0
adventureworks_c02,2,"""select pod.purchaseorderid,pod.purchaseorderdetailid from product p join purchaseorderdetail pod on p.productid = pod.productid join purchaseorderheader poh on pod.purchaseorderid = poh.purchaseorderid where p.makeflag = 'f' and p.finishedgoodsflag ='f' and p.safetystocklevel > 100 and p.listprice=0 and poh.shipmethodid>1 and poh.orderdate>'2011-01-01 00:00:00' and poh.shipdate > '2011-01-01 00:00:00' and poh.subtotal> 100 and pod.orderqty>1 and pod.unitprice>20;""","""SELECT pod.purchaseorderid AS purchaseorderid, pod.purchaseorderdetailid AS purchaseorderdetailid FROM product p JOIN purchaseorderdetail pod ON p.productid = pod.productid JOIN purchaseorderheader poh ON pod.purchaseorderid = poh.purchaseorderid WHERE ( pod.orderqty in ( 550,60,4,3 ) AND pod.unitprice >= 22.1655 AND poh.shipmethodid <> 1 AND poh.subtotal >= 102.564 )""",1,1825
adventureworks_c02,3,"""select pod.purchaseorderid,pod.purchaseorderdetailid from product p join purchaseorderdetail pod on p.productid = pod.productid join purchaseorderheader poh on pod.purchaseorderid = poh.purchaseorderid where p.makeflag = 'f' and p.finishedgoodsflag ='f' and p.safetystocklevel > 100 and p.listprice=0 and poh.shipmethodid>1 and poh.orderdate>'2011-01-01 00:00:00' and poh.shipdate > '2011-01-01 00:00:00' and poh.subtotal> 100 and pod.orderqty>1 and pod.unitprice>20;""","""SELECT pod.purchaseorderid AS purchaseorderid, pod.purchaseorderdetailid AS purchaseorderdetailid FROM product p JOIN purchaseorderdetail pod ON p.productid = pod.productid JOIN purchaseorderheader poh ON pod.purchaseorderid = poh.purchaseorderid WHERE ( p.makeflag = 'f' AND p.finishedgoodsflag = 'f' AND p.safetystocklevel > 100 AND p.listprice = 0 AND poh.shipmethodid > 1 AND poh.orderdate > '2011-01-01 00:00:00' AND poh.shipdate > '2011-01-01 00:00:00' AND poh.subtotal > 100 AND pod.orderqty > 1 AND pod.unitprice >= 22.1655 )""",0,0
