script_name,test_id,test_type,tquery,fixed_query,duration,final_score,similarity
polling_etl_c01,0,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >80 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""",2,0,0.944444444
polling_etl_c01,1,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >=4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""",0,0,0.944444444
polling_etl_c01,2,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000 and c.style is null""",0,0,0.947368421
polling_etl_c01,3,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questionposition >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""",2,0,0.888888889
polling_etl_c01,4,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'""",0,0,0.941176471
polling_etl_c01,5,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where q.externalsystemid >70 and q.etl_time > '2016-12-15' and c.active = 't' and q.questioncode >3 and  q.maxresponses = 1 and q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000""",0,0,0.888888889
polling_etl_c02,0,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where ( q.externalsystemid >70 and q.etl_time < '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 ) or (q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000)""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where ( q.externalsystemid >70 and q.etl_time < '2016-12-10' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 ) or (q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000)""",2,0,0.944444444
polling_etl_c02,1,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where ( q.externalsystemid >70 and q.etl_time < '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 ) or (q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000)""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where ( q.externalsystemid >70 and q.etl_time < '2016-12-14' and c.active = 't' and q.questioncode >=4 and  q.maxresponses = 1 ) or (q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000)""",0,0,0.944444444
polling_etl_c02,2,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where ( q.externalsystemid >70 and q.etl_time < '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 ) or (q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000)""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where ( q.externalsystemid >70 and q.etl_time < '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 ) or (q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000 and c.style is null)""",0,0,0.947368421
polling_etl_c02,3,w    ,"""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where ( q.externalsystemid >70 and q.etl_time < '2016-12-14' and c.active = 't' and q.questioncode >4 and  q.maxresponses = 1 ) or (q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000)""","""select q.surveyid,c.questionid,c.id from questions q join choices c on q.id = c.questionid where ( q.externalsystemid >70 and q.etl_time < '2016-12-14' and c.active = 't' and q.questionposition >4 and  q.maxresponses = 1 ) or (q.required='t' and q.imageid<1000 and c.etl_time  > '2017-02-01'  and c.imageid > 1000)""",1,0,0.888888889
