script_name,test_id,test_type,tquery,fixed_query,duration,final_score,similarity
data_collector_jc4,0,jt   ,"""select i.instance_id,app.id as app_id, lg.login_id,db.database_id,tbl.table_id,ix.stat_id from instances i join databases db on i.instance_id = db.instance_id join logins lg on lg.instance_id = i.instance_id join applications app on app.id = db.application_id join pg_table_stats tbl on tbl.database_id = db.database_id join index_stats ix on ix.database_id = tbl.database_id and tbl.table_id = ix.table_id ""","""SELECT i.instance_id AS instance_id, app.id AS app_id, lg.login_id AS login_id, db.database_id AS database_id, tbl.table_id AS table_id, ix.stat_id AS stat_id FROM instances i JOIN databases db ON i.instance_id = db.instance_id JOIN logins lg ON lg.instance_id = i.instance_id JOIN applications app ON app.id = db.application_id JOIN pg_table_stats tbl ON tbl.database_id = db.database_id JOIN index_stats ix ON ix.database_id = tbl.database_id AND tbl.table_id = ix.table_id""",12,0,1
data_collector_jc4,1,jc   ,"""select i.instance_id,app.id as app_id, lg.login_id,db.database_id,tbl.table_id,ix.stat_id from instances i join databases db on i.instance_id = db.instance_id join logins lg on lg.instance_id = i.instance_id join applications app on app.id = db.application_id join pg_table_stats tbl on tbl.database_id = db.database_id join index_stats ix on ix.database_id = tbl.database_id and tbl.table_id = ix.table_id ""","""select i.instance_id,app.id as app_id, lg.login_id,db.database_id,tbl.table_id,ix.stat_id from instances i JOIN databases db on i.instance_id = db.instance_id JOIN logins lg on i.instance_id = lg.instance_id JOIN applications app on app.id = db.application_id JOIN pg_table_stats tbl on tbl.database_id = db.database_id JOIN index_stats ix on ix.database_id = tbl.database_id AND tbl.table_id = ix.table_id AND i.instance_id = ix.instance_id AND tbl.owner = ix.owner """,585,0,0.878787879
data_collector_jc4,2,jc   ,"""select i.instance_id,app.id as app_id, lg.login_id,db.database_id,tbl.table_id,ix.stat_id from instances i join databases db on i.instance_id = db.instance_id join logins lg on lg.instance_id = i.instance_id join applications app on app.id = db.application_id join pg_table_stats tbl on tbl.database_id = db.database_id join index_stats ix on ix.database_id = tbl.database_id and tbl.table_id = ix.table_id ""","""select i.instance_id,app.id as app_id, lg.login_id,db.database_id,tbl.table_id,ix.stat_id from instances i JOIN databases db on i.instance_id = db.instance_id JOIN logins lg on lg.instance_id = i.instance_id JOIN applications app on app.id = db.application_id JOIN pg_table_stats tbl on tbl.database_id = db.database_id JOIN index_stats ix on ix.database_id = tbl.database_id AND tbl.table_id = ix.table_id AND i.instance_id = ix.instance_id AND tbl.owner = ix.owner """,544,0,0.878787879
data_collector_jc4,3,jc   ,"""select i.instance_id,app.id as app_id, lg.login_id,db.database_id,tbl.table_id,ix.stat_id from instances i join databases db on i.instance_id = db.instance_id join logins lg on lg.instance_id = i.instance_id join applications app on app.id = db.application_id join pg_table_stats tbl on tbl.database_id = db.database_id join index_stats ix on ix.database_id = tbl.database_id and tbl.table_id = ix.table_id ""","""select i.instance_id,app.id as app_id, lg.login_id,db.database_id,tbl.table_id,ix.stat_id from instances i JOIN databases db on i.instance_id = db.instance_id JOIN logins lg on i.instance_id = lg.instance_id LEFT JOIN applications app on app.id = db.application_id JOIN pg_table_stats tbl on tbl.database_id = db.database_id JOIN index_stats ix on ix.database_id = tbl.database_id AND tbl.table_id = ix.table_id AND i.instance_id = ix.instance_id AND tbl.owner = ix.owner """,562,0,0.848484848
data_collector_jc4,3,jt   ,"""select i.instance_id,app.id as app_id, lg.login_id,db.database_id,tbl.table_id,ix.stat_id from instances i join databases db on i.instance_id = db.instance_id join logins lg on lg.instance_id = i.instance_id join applications app on app.id = db.application_id join pg_table_stats tbl on tbl.database_id = db.database_id join index_stats ix on ix.database_id = tbl.database_id and tbl.table_id = ix.table_id ""","""SELECT i.instance_id AS instance_id, app.id AS app_id, lg.login_id AS login_id, db.database_id AS database_id, tbl.table_id AS table_id, ix.stat_id AS stat_id FROM instances i JOIN databases db ON i.instance_id = db.instance_id JOIN logins lg ON i.instance_id = lg.instance_id JOIN applications app ON app.id = db.application_id JOIN pg_table_stats tbl ON tbl.database_id = db.database_id JOIN index_stats ix ON ix.database_id = tbl.database_id AND tbl.table_id = ix.table_id AND i.instance_id = ix.instance_id AND tbl.owner = ix.owner""",562,0,0.878787879
data_collector_js1,0,jt   ,"""select i.instance_id, s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id ""","""SELECT i.instance_id AS instance_id, s.stat_id AS stat_id FROM instances i JOIN index_stats s ON i.instance_id = s.instance_id""",1,0,1
data_collector_js1,1,jc   ,"""select i.instance_id, s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id ""","""select i.instance_id, s.stat_id from instances i JOIN index_stats s on i.instance_id = s.instance_id """,2,0,1
data_collector_js1,2,jc   ,"""select i.instance_id, s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id ""","""select i.instance_id, s.stat_id from instances i JOIN index_stats s on i.instance_id = s.instance_id""",2,0,1
data_collector_js1,3,jc   ,"""select i.instance_id, s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id ""","""select i.instance_id, s.stat_id from instances i LEFT JOIN index_stats s on i.instance_id = s.instance_id""",3,0,0.8
data_collector_js1,3,jt   ,"""select i.instance_id, s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id ""","""SELECT i.instance_id AS instance_id, s.stat_id AS stat_id FROM instances i JOIN index_stats s ON i.instance_id = s.instance_id""",3,0,1
