script_name,test_id,test_type,tquery,fixed_query,duration,final_score
employees_c01,0    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 30000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""",31,0
employees_c01,1    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name != 'Production' and de.from_date > '1986-01-01';""",7,0
employees_c01,2    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.first_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""",33,0
employees_c01,3    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""",1,0
employees_c01,4    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no >10000 and s.to_date > '1990-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 20000 and d.dept_name = 'Development' and de.from_date > '1986-01-01';""",32,0
employees_c01,5    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01';""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date, d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where e.emp_no > 30000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01' and e.hire_date>'1998-01-01';""",23,0
employees_m03,4    ,w    ,"""select e.emp_no  as emp_no ,salary,first_name,last_name,birth_date,hire_date,from_date  from employees e join salaries s on e.emp_no = s.emp_no where e.emp_no > 20000 and s.from_date > '1990-01-01' and e.last_name like 'Al%' and e.gender = 'M' and e.birth_date > '1960-01-01' and s.salary > 80000;""","""select e.emp_no  as emp_no ,salary,first_name,last_name,birth_date,hire_date,from_date  from employees e join salaries s on e.emp_no = s.emp_no where e.emp_no > 30000 and s.from_date > '1990-01-01' and e.first_name like 'Al%' and e.gender = 'M' and e.birth_date > '1962-01-01' and s.salary > 80000;""",195,0
employees_c02,0    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date,d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where (e.emp_no > 50000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and d.dept_no ='d002') or (e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01');""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date,d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where (e.emp_no > 50000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and d.dept_no ='d006') or (e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01')""",44,0
employees_c02,1    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date,d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where (e.emp_no > 50000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and d.dept_no ='d002') or (e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01');""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date,d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where (e.emp_no < 50000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and d.dept_no ='d002') or (e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01')""",3,0
employees_c02,2    ,w    ,"""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date,d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where (e.emp_no > 50000 and s.from_date > '1980-01-01' and e.last_name like 'A%' and e.gender = 'M' and d.dept_no ='d002') or (e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01');""","""select e.emp_no  as emp_no ,s.salary,e.first_name,e.last_name,e.birth_date,e.hire_date,s.from_date,d.dept_no from employees e join salaries s on e.emp_no = s.emp_no join titles t on e.emp_no = t.emp_no and t.from_date = s.from_date join dept_emp de on de.emp_no = e.emp_no join departments d on de.dept_no = d.dept_no where (e.emp_no > 50000 and s.from_date > '1980-01-01' and e.first_name like 'A%' and e.gender = 'M' and d.dept_no ='d002') or (e.birth_date > '1950-01-01' and t.title like 'Senior%' and s.salary > 50000 and d.dept_name = 'Production' and de.from_date > '1986-01-01')""",24,0
