script_name,test_id,test_type,tquery,fixed_query,duration,final_score,similarity
data_collector_wm4,0,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>0) or ( relname like 'email%' and idx_blks_hit_ratio<0) """,142,0,0.916666667
data_collector_wm4,1,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>=1) or ( relname like 'email%' and idx_blks_hit_ratio<0) """,9,0,0.916666667
data_collector_wm4,2,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 and instance_id >140) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) """,10,0,0.923076923
data_collector_wm4,3,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( idxname like 'email%' and idx_blks_hit_ratio<0) """,20,0,0.833333333
data_collector_wm4,4,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 ) or ( relname like 'email%' and idx_blks_hit_ratio<0) """,11,0,0.909090909
data_collector_wm4,5,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 ) or ( idxname like 'email%' and idx_blks_hit_ratio<0) """,29,0,0.727272727
data_collector_ws3,0,w    ,"""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132 and bloat_ratio>10) ""","""select stat_id from index_stats where  ( instance_id =131 and size_mb >1100)  or ( instance_id =132 and bloat_ratio>10) """,98,0,0.875
data_collector_ws3,1,w    ,"""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132 and bloat_ratio>10) ""","""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132 and bloat_ratio>=10) """,11,0,0.875
data_collector_ws3,2,w    ,"""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132 and bloat_ratio>10) ""","""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000 and bloat_ratio >1)  or ( instance_id =132 and bloat_ratio>10) """,12,0,0.888888889
data_collector_ws3,3,w    ,"""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132 and bloat_ratio>10) ""","""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132 and stat_id>10) """,13,0,0.75
data_collector_ws3,4,w    ,"""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132 and bloat_ratio>10) ""","""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132) """,10,0,0.857142857
data_collector_ws3,5,w    ,"""select stat_id from index_stats where  ( instance_id =131 and size_mb >1000)  or ( instance_id =132 and bloat_ratio>10) ""","""select stat_id from index_stats where  ( instance_id =131 and size_mb >1100)  or ( instance_id =132 and bloat_ratio>=10) """,28,0,0.75
data_collector_ws2,0,w    ,"""select stat_id from index_stats where ( instance_id =131 and size_mb >1000)  or stat_id = 1504532""","""select stat_id from index_stats where ( instance_id =131 and size_mb >1100)  or stat_id = 1504532""",114,0,0.833333333
data_collector_ws2,1,w    ,"""select stat_id from index_stats where ( instance_id =131 and size_mb >1000)  or stat_id = 1504532""","""select stat_id from index_stats where ( instance_id =131 and size_mb >1000)  or stat_id > 1504532""",9,0,0.833333333
data_collector_ws2,2,w    ,"""select stat_id from index_stats where ( instance_id =131 and size_mb >1000)  or stat_id = 1504532""","""select stat_id from index_stats where ( instance_id =131 and size_mb >1000 and bloat_ratio >1)  or stat_id = 1504532""",11,0,0.857142857
data_collector_ws2,3,w    ,"""select stat_id from index_stats where ( instance_id =131 and size_mb >1000)  or stat_id = 1504532""","""select stat_id from index_stats where ( instance_id =131 and size_mb >1000)  or idx_scan = 1504532""",9,0,0.666666667
data_collector_ws2,4,w    ,"""select stat_id from index_stats where ( instance_id =131 and size_mb >1000)  or stat_id = 1504532""","""select stat_id from index_stats where ( instance_id =131 and size_mb >1000) """,10,0,0.8
data_collector_ws2,5,w    ,"""select stat_id from index_stats where ( instance_id =131 and size_mb >1000)  or stat_id = 1504532""","""select stat_id from index_stats where ( instance_id =131 and size_mb >1100)  or idx_scan = 1504532""",20,0,0.5
data_collector_wm5,0,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532 ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>0) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532""",164,0,0.928571429
data_collector_wm5,1,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532 ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>=1) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532""",10,0,0.928571429
data_collector_wm5,2,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532 ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 and instance_id >140) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532""",10,0,0.933333333
data_collector_wm5,3,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532 ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( idxname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532""",26,0,0.857142857
data_collector_wm5,4,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532 ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 ) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532""",11,0,0.923076923
data_collector_wm5,5,w    ,"""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 and size_mb>1) or ( relname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532 ""","""select stat_id from index_stats where (dbname = 'obp'  and bloat_ratio =0 ) or(instance_id = 200 ) or ( idxname like 'email%' and idx_blks_hit_ratio<0) or stat_id = 1504532""",31,0,0.769230769
data_collector_wm2,0,w    ,"""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 ""","""select stat_id from index_stats where dbname = 'obp' and instance_id > 130 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 """,89,0,0.916666667
data_collector_wm2,1,w    ,"""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 ""","""select stat_id from index_stats where dbname = 'obp' and instance_id >= 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 """,7,0,0.916666667
data_collector_wm2,2,w    ,"""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 ""","""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 and idx_blks_hit_ratio <0""",27,0,0.923076923
data_collector_wm2,3,w    ,"""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 ""","""select stat_id from index_stats where schemaname = 'obp' and instance_id > 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 """,13,0,0.833333333
data_collector_wm2,4,w    ,"""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 ""","""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >0 and relname like 'qrtz%' and size_mb >1 """,7,0,0.909090909
data_collector_wm2,5,w    ,"""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >0 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >1 ""","""select stat_id from index_stats where dbname = 'obp' and instance_id > 131 and bloat_ratio >1 and idx_tup_read = 0 and relname like 'qrtz%' and size_mb >=1 """,15,0,0.833333333
data_collector_ws5,0,w    ,"""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or stat_id = 1504532 ""","""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or stat_id = 1504533 """,134,0,0.875
data_collector_ws5,1,w    ,"""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or stat_id = 1504532 ""","""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or stat_id > 1504532 """,11,0,0.875
data_collector_ws5,2,w    ,"""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or stat_id = 1504532 ""","""select stat_id from index_stats where ( instance_id =132 and idx_scan =0) or idx_tup_read >70000000 or  dbname = 'obp' or stat_id = 1504532 """,8,0,0.888888889
data_collector_ws5,3,w    ,"""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or stat_id = 1504532 ""","""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or instance_id = 1504532 """,355,1456599,0.75
data_collector_ws5,4,w    ,"""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or stat_id = 1504532 ""","""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' """,12,0,0.857142857
data_collector_ws5,5,w    ,"""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or stat_id = 1504532 ""","""select stat_id from index_stats where instance_id =132 or idx_tup_read >80000000 or  dbname = 'obp' or stat_id > 1504532 """,30,0,0.75
data_collector_wc1,0,w    ,"""select s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id where s.instance_id =132 or s.idx_tup_read >80000000 or s.dbname = 'obp' or s.idx_scan = 1 or s.stat_id = 1504532 or i.platform='mysql' or i.cpu = 8 or i.environment = 'dba'""","""select s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id where s.instance_id =132 or s.idx_tup_read >90000000 or s.dbname = 'obp' or s.idx_scan = 1 or s.stat_id = 1504532 or i.platform='mysql' or i.cpu = 8 or i.environment = 'dba'""",239,0,0.9375
data_collector_wc1,1,w    ,"""select s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id where s.instance_id =132 or s.idx_tup_read >80000000 or s.dbname = 'obp' or s.idx_scan = 1 or s.stat_id = 1504532 or i.platform='mysql' or i.cpu = 8 or i.environment = 'dba'""","""select s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id where s.instance_id =132 or s.idx_tup_read >80000000 or s.dbname = 'obp' or s.idx_scan = 1 or s.stat_id > 1504532 or i.platform='mysql' or i.cpu = 8 or i.environment = 'dba'""",23,0,0.9375
data_collector_wc1,2,w    ,"""select s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id where s.instance_id =132 or s.idx_tup_read >80000000 or s.dbname = 'obp' or s.idx_scan = 1 or s.stat_id = 1504532 or i.platform='mysql' or i.cpu = 8 or i.environment = 'dba'""","""select s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id where ( s.instance_id =132 and s.bloat_ratio>0) or s.idx_tup_read >80000000 or s.dbname = 'obp' or s.idx_scan = 1 or s.stat_id = 1504532 or i.platform='mysql' or i.cpu = 8 or i.environment = 'dba'""",21,0,0.941176471
data_collector_wc1,3,w    ,"""select s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id where s.instance_id =132 or s.idx_tup_read >80000000 or s.dbname = 'obp' or s.idx_scan = 1 or s.stat_id = 1504532 or i.platform='mysql' or i.cpu = 8 or i.environment = 'dba'""","""select s.stat_id from instances i join index_stats s on i.instance_id = s.instance_id where s.instance_id =132 or s.idx_tup_read >80000000 or s.dbname = 'obp' or s.idx_scan = 1 or s.idx_tup_fetch = 1504532 or i.platform='mysql' or i.cpu = 8 or i.environment = 'dba'""",548,1384643,0.875
data_collector_wm1,5,w    ,"""select stat_id from index_stats where instance_id =132 or idx_tup_read >70000000 or  dbname = 'obp' or idx_scan = 1 or stat_id = 1504532 ""","""select stat_id from index_stats where instance_id =132 or idx_tup_read >80000000 or  dbname = 'obp' or idx_scan = 1 or idx_tup_fetch = 1504532 """,625,1439610,0.7
